,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
486,owl,allvaluesfrom,time,temporalentity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,http,www,org,ns,sosa,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,sosa,platform,rdfs,subclassof,rdf,type,owl,restriction,,,,,,,,,,,,,,,,,,,,,,,,,
492,owl,onproperty,iiot,hascoverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,owl,somevaluesfrom,iiot,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,owl,onproperty,iiot,hassemantics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,owl,somevaluesfrom,iiot,semantics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,owl,onproperty,iiot,offersservice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,owl,somevaluesfrom,iiot,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,http,www,org,ns,sosa,result,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,sosa,result,rdfs,subclassof,rdf,type,owl,restriction,,,,,,,,,,,,,,,,,,,,,,,,,
511,owl,onproperty,iiot,hasunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,owl,somevaluesfrom,sweet,units,unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,owl,onproperty,iiot,hasresultvalue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,http,www,org,ns,sosa,sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,sosa,sensor,rdfs,subclassof,rdf,type,owl,restriction,,,,,,,,,,,,,,,,,,,,,,,,,
527,http,www,org,ns,ssn,system,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,ssn,system,rdfs,subclassof,rdf,type,owl,restriction,,,,,,,,,,,,,,,,,,,,,,,,,
538,http,xmlns,com,foaf,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,foaf,person,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,http,inter,iot,eu,goiotp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,http,inter,iot,eu,goiotp,rdf,type,owl,namedindividual,,,,,,,,,,,,,,,,,,,,,,,,
548,voaf,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,generated,owl,api,version,https,github,com,owlcs,owlapi,,,,,,,,,,,,,,,,,,,,,,,,
